run_id,temperature_K,rate_constant,catalyst
R003,325,0.000502631,Pd_C
R032,385,0.0002244798,Ni_Al2O3
R004,325,0.0005064776,Pd_C
R022,310,2.763139e-08,Ni_Al2O3
R028,355,2.030964e-05,Ni_Al2O3
R030,370,6.43332e-05,Ni_Al2O3
R023,325,1.245409e-06,Ni_Al2O3
R040,445,0.00823293,Ni_Al2O3
R020,445,0.2525752,Pd_C
R027,355,2.122584e-05,Ni_Al2O3
R033,400,,Ni_Al2O3
R018,430,0.1316449,Pd_C
R031,385,0.000204645,Ni_Al2O3
R037,430,0.03263092,Ni_Al2O3
R034,400,0.0005564592,Ni_Al2O3
R029,370,6.22384e-05,Ni_Al2O3
R005,340,0.001339637,Pd_C
R015,415,0.08186898,Pd_C
R011,385,,Pd_C
R036,415,0.001738766,Ni_Al2O3
R024,325,1.30034e-06,Ni_Al2O3
R025,340,5.097689e-06,Ni_Al2O3
R035,415,0.001499054,Ni_Al2O3
R021,310,,Ni_Al2O3
R019,445,0.2610201,Pd_C
R026,340,6.113008e-06,Ni_Al2O3
R007,355,0.0029341,Pd_C
R014,400,0.03673827,Pd_C
R008,355,0.003308295,Pd_C
R039,445,0.008530255,Ni_Al2O3
R002,310,0.0001498407,Pd_C
R017,430,0.1371063,Pd_C
R001,310,0.0001466193,Pd_C
R016,415,,Pd_C
R006,340,0.001549529,Pd_C
R012,385,0.01722997,Pd_C
R010,370,0.007446008,Pd_C
R009,370,0.006974571,Pd_C
R013,400,0.0438932,Pd_C
R038,430,0.003641521,Ni_Al2O3
