substrate_mM,velocity_uM_per_min,enzyme_batch
0.05,11.97,batch_A
0.1,21.762,batch_A
0.2,37.374,batch_A
0.4,59.069,batch_A
0.75,75.797,batch_A
1.0,80.936,batch_A
1.5,91.811,batch_A
2.5,104.018,batch_A
4.0,115.758,batch_A
6.0,115.391,batch_A
8.0,113.574,batch_A
12.0,113.926,batch_A
0.05,6.422,batch_B
0.1,9.462,batch_B
0.2,10.898,batch_B
0.4,25.108,batch_B
0.75,37.873,batch_B
1.0,46.276,batch_B
1.5,51.734,batch_B
2.5,64.209,batch_B
4.0,75.808,batch_B
6.0,76.553,batch_B
8.0,86.263,batch_B
12.0,85.023,batch_B
0.05,7.776,batch_C
0.1,22.363,batch_C
0.2,31.562,batch_C
0.4,54.129,batch_C
0.75,78.898,batch_C
1.0,87.389,batch_C
1.5,92.513,batch_C
2.5,111.276,batch_C
4.0,123.55,batch_C
6.0,128.756,batch_C
8.0,123.669,batch_C
12.0,129.581,batch_C
